ResourceName,ParentAgencyName
Johnson City Independent School District (JCISD),
Johnson City ISD,
Johnson City ISD,Johnson City Independent School District (JCISD)
Johnson City ISD - Administration and Transportation,Johnson City Independent School District (JCISD)
Johnson City ISD - Guidance and Counseling Services,Johnson City Independent School District (JCISD)
Johnson City ISD - Homeless Liaison Services,Johnson City Independent School District (JCISD)
Johnson City ISD - Special Education Services,Johnson City Independent School District (JCISD)
Johnson City Library,
Johnson City Library - Library Services,Johnson City Library
Johnson City Public Library,
Johnson City Public Library,Johnson City Library
Johnson City Texas Library,
Johnson City Texas Library,Johnson City Library
Johnson City Volunteer Fire Department,
Johnson City Volunteer Fire Department - Emergency Services,Johnson City Volunteer Fire Department
Johnson County Christian Lodge,
Johnson County Committee on Aging,
Johnson County Emergency Management,
Johnson County Extension Office,
Johnson County Family Crisis Center,
Johnson-Ellis- Navarro MHMR Services Administrative Offices,
Johnsons Interpreting Service,
Johnsons Interpreting Service,Communication Axess Ability Group
Joint Base San Antonio - Randolph Air Force Base Military and Family Readiness Center,
Joint Base San Antonio - Randolph Airforce Base Military and Family Readiness Center,Randolph Air Force Base Military and Family Readiness Center
Joint Base San Antonio Randolph Youth Program,
Joint Base San Antonio Randolph Youth Program,Joint Base San Antonio Randolph Youth Program
Joint Base Substance Abuse Clinic Program,Joint Base Substance Abuse Program
Joint Base Substance Abuse Program,
Jonathan's Place / KID NET Foundation,
Jones County,
Jones County Commissioners Court,Jones County
Jones County Veterans Service Office,
Jones County Veterans Service Office,Jones County Veterans Service Office
Jones County VSO,
Jones County VSO,Jones County Veterans Service Office
Jones Field Airport - City of Bonham,"Bonham, City of"
Jonestown Community Library,
Jonestown Community Library - Library Services,Jonestown Community Library
Jonestown Public Library,
Jonestown Public Library,Jonestown Community Library
Jordan Grove Baptist Church,
"Jordan Health Services, Inc.",
Joseph Food and Clothing Pantry,
Joseph Food and Clothing Pantry,Joseph's Food Pantry
Joseph Thomas Foundation,
Joseph Thomas Foundation,Joseph Thomas Foundation
Joseph's Food Pantry,
Joseph's Locker,
Joseph's Storehouse. FBC Granite Shoals,
Joseph's Storehouse. FBC Granite Shoals,Joseph's Food Pantry
Joshua Area Chamber of Commerce,
Joshua City Hall,
Joshua Independent School District,
Joshua Police Department,
Jourdanton Community Library,
Jourdanton Community Library,Jourdanton Community Library
Jourdanton Independent School District,
Jourdanton Independent School District Main Office,Jourdanton Independent School District
Jourdanton ISD,Jourdanton Independent School District
Jourdanton Police Department,
Jourdanton Police Department,Jourdanton Police Department
Journey Learning Center,
"Journey Of Hope Grief Support Center, Inc.",
JOVEN,
JP,
JP,Gonzales County Courthouse
JP,Lavaca County Courthouse
JP,Williamson County Justice of the Peace Courts
JPL,
JPL,Jonestown Community Library
JPS Behavioral Health Center,JPS Health Network
JPS Center for Cancer Care,JPS Health Network
JPS Health Center - Cypress,JPS Health Network
JPS Health Centers,JPS Health Network
JPS Health Centers for Women,JPS Health Network
JPS Health Network,
JPS Medical Home - Southeast Tarrant,JPS Health Network
JPS School Based Centers,JPS Health Network
JPS Surgical Center,JPS Health Network
JPS Urgent Care Center,JPS Health Network
JR Huffman Public Library,
Jr. Webb County Youth Village,
Jr. Webb County Youth Village,Webb County - Youth Village - Office of the Juvenile Department
Jr. Wilson County Public Library,
Jr. Wilson County Public Library,"Sam Fore, Jr. Wilson County Public Library"
JSC,
JSC,Jefferson Senior Center
JTF,
JTF,Joseph Thomas Foundation
JTPA,
JTPA,Workforce Solutions of West Central Texas Center
Juanita Craft Senior Center,
Juarez Clinic,Community Healthcare Center
Jubilee Center of Midland,
Jubilee Christian Church,
Jubilee House of Abilene,
Jubilee House of Abilene,Abilene Jubilee House
Jubilee Restoration Center,Jubilee Christian Church
Judge Solomon Casseb,
Judge Solomon Casseb,Webb County - Youth Village - Office of the Juvenile Department
Judson Independent School District,
Judson Independent School District Main Office,Judson Independent School District
Judson ISD,Judson Independent School District
"Julia C. Hester House, Inc.",
Julia Ideson Building Houston Metropolitan Research Center,Houston Public Library
Julie Rogers Gift of Life Program,
"Juliette Fowler Homes, Inc.",
Junction 5-O-5,
Junction 5-O-5,Junction Five-O-Five
Junction Five-O-Five,
Junction Housing Authority,
Junction Housing Authority,Junction Housing Authority
Junction Medical Clinic,Kimble Hospital
Junction Senior Apartments,
Junction Senior Apartments,Junction Senior Apartments
Junction Senior Center,
Junction Senior Center,Kimble County Senior Center
June-August Fine Arts Summer Camp,The River-Performing and Visual Arts Center
Junior Achievement of Brazoria County,
Junior Achievement of Greater Tyler Area,
Junior Achievement of Laredo,
Junior Achievement of Laredo,Junior Achievement of Laredo
"Junior Achievement of Southeast Texas, Inc.",
Junior Achievement of the Chisholm Trail,
Junior Achievement of the Permian Basin,
Junior Achievement of the Permian Basin,Junior Achievement of the Permian Basin
Junior Achievement Tyler,Junior Achievement of Greater Tyler Area
Junior High School,Conroe Independent School District
Junior High School,Dayton Independent School District
Junior High School,Deer Park Independent School District
Junior High School,Dickinson Independent School District
Junior High School,East Bernard Independent School District
Junior High School,East Chambers Independent School District
Junior High School,Friendswood Independent School District
Junior High School,Goose Creek Consolidated Independent School District
Junior High School,Hull-Daisetta Independent School District
Junior High School,Katy Independent School District
Junior High School,La Porte Independent School District
Junior High School,Lamar Consolidated Independent School District
Junior High School,Louise Independent School District
Junior High School,Montgomery Independent School District
Junior High School,Needville Independent School District
Junior High School,New Waverly Independent School District
Junior High School,Palacios Independent School District
Junior High School,Pearland Independent School District
Junior High School,Santa Fe Independent School District
Junior High School,Sealy Independent School District
Junior High School,Splendora Independent School District
Junior High School,Sweeny Independent School District
Junior High School,Tomball Independent School District
Junior High School,Waller Independent School District
Junior High School,Wharton Independent School District
Junior League of Arlington,
Junior League of Corpus Christi,
Junior League of Fort Worth Inc,
"Junior League of Houston, Inc.",
"Junior League of Odessa, Inc.",
"Junior League of Odessa, Inc.","Junior League of Odessa, Inc."
Junior League of Plano,
Junior League of Victoria,
Junior League of Victoria,Junior League of Victoria
Junior Lifeguard Training Waco Family,YMCA of Central Texas
Jurisdiction Helper,Bexar County Elections Department
Jury Selection,El Paso County Justice of the Peace
Just One Mom to Another/Boot Camp for New Dads - Wichita Falls,Pregnancy Help Center
Just Real Kare Inc.,
Justice Department,
Justice Department,United States Department of Justice (US DOJ)
Justice for Children,
Justice of the Peace,Aransas County Government
Justice of the Peace,Bee County Government
Justice of the Peace,Brooks County Government
Justice of the Peace,Duval County Government
Justice of the Peace,Jim Wells County Government
Justice of the Peace,Kenedy County Government
Justice of the Peace,Kleberg County Government
Justice of the Peace,Live Oak County Government
Justice of the Peace,McMullen County Government
Justice of the Peace,Refugio County Government
Justice of the Peace,San Patricio County Government
Justice of the Peace Precinct - Judge Fred G. Granado,Jeff Davis County
Justice of the Peace Precinct 1,Brewster County
Justice of the Peace Precinct 1 - Judge Cinderela Rice Guevara,Presidio County
Juvenile Accountability Court Program,City Of Houston Anti-Gang Office
Juvenile Assessment Center,City of Corpus Christi Parks and Recreation
"Juvenile Case Management, JCM","City of El Paso, Texas"
Juvenile Court Services,McLennan County Juvenile Probation
Juvenile Crime Prevention,"Progressive Amateur Boxing Association, Inc."
Juvenile Delinquency Diversion Counseling,Collin County Juvenile Detention
Juvenile Delinquency Prevention,Deep East Texas Council of Governments
Juvenile Delinquency Prevention,Van Zandt County Juvenile Probation Dept
Juvenile Detention,Brazoria County Juvenile Probation Department
Juvenile Detention,Montgomery County Juvenile Probation
Juvenile Detention Facilities,Collin County Juvenile Detention
Juvenile Detention Facilities,Rockdale Regional Juvenile Justice Center
Juvenile Detention Facilities,Victoria County Courthouse
Juvenile Diabetes Research Foundation,
Juvenile Diabetes Research Foundation International,
Juvenile Diversion,Rockwall County Juvenile Services
Juvenile Fire Setter Program,Fort Worth Fire Department
Juvenile Firesetter Intervention Program,City of San Antonio - Fire Department - Community Safety and Education
Juvenile Justice,Austin Travis County Integral Care (ATCIC) Child and Family Services 
Juvenile Justice,Nueces County Juvenile Justice Center
Juvenile Justice Alternative Education Program,Travis County Juvenile Probation Department
Juvenile Justice Alternative Education Program (JJAEP),Southwest Key Programs - Tip of Texas
Juvenile Justice Program,Family Service Center of Galveston County
Juvenile Justice Services,"Arc of the Capital Area, The"
Juvenile Justice Services,"Family Service Association of San Antonio, Inc."
Juvenile Law Enforcement,Houston Police Department-Community Services
Juvenile Mediation Program,Houston Bar Association
Juvenile Prevention and Intervention Program,El Paso County Juvenile Probation Department
Juvenile Probation,
Juvenile Probation,36th Judicial District Juvenile Probation Department
Juvenile Probation,Austin County Juvenile Probation Department
Juvenile Probation,Bexar County Juvenile Probation Department
Juvenile Probation,Brooks County Government
Juvenile Probation,Hunt County Juvenile Probation
Juvenile Probation,Matagorda County Juvenile Probation
Juvenile Probation,Van Zandt County Juvenile Probation Dept
Juvenile Probation,Wharton County Juvenile Probation Department
Juvenile Probation and Detention Center,"Hidalgo, County of"
Juvenile Probation Department,
Juvenile Probation Department,Aransas County Government
Juvenile Probation Department,El Paso County Juvenile Probation Department
Juvenile Probation Department ,Juvenile Probation Department - First Judicial District
Juvenile Probation Department,Reeves County Juvenile Probation
Juvenile Probation Department,Webb County - Youth Village - Office of the Juvenile Department
Juvenile Probation Department,"Willacy, County of"
Juvenile Probation Department - First Judicial District,
Juvenile Probation Program,Bowie County Community Supervision and Corrections Department
Juvenile Probation Program,Lamar County Juvenile Probation
Juvenile Probation Program,Red River County Juvenile Probation Department
Juvenile Probation Treatment Program,The Council on Recovery
Juvenile Rheumatoid Arthritis,Children's Hospital of San Antonio
Juvenile Services,Smith County
Juvenile Services of Smith County,Smith County
Juvenile Texas Correctional Office on Offenders with Medical or Mental Impairments,Austin Travis County Integral Care (ATCIC) Child and Family Services 
Juvenile Unit,Houston Police Department-Community Services
Juvenile Unit - Youth Services,City of San Antonio - Police Department
Juvenile Unit Youth Services,City of San Antonio - Police Department
Juvi,El Paso County Juvenile Probation Department
K Star,
K Star,K'star Youth and Family Services
K Star Emergency Youth Shelter,K'STAR Inc.
K'Star Emergency Youth Shelter,K'STAR Inc.
K'STAR Inc.,
K'star Marble Falls Office - Youth and Family Services,K'star Youth and Family Services
K'star Youth and Family Services,
K'Star Youth and Family Services,K'STAR Inc.
K.I.D.S.,Kids in Distress
K.Y.S.S.,Out Youth
KAB,City of Abilene - Public Works
Kaplan College,
Kaplan College,Kaplan Community Dental Clinic
Kaplan Community Dental Clinic,
Karacterkeys After School Program,MasterKey Ministries of Grayson County
Karekeys Food Assistance,MasterKey Ministries of Grayson County
Karnes City Community Chamber of Commerce,
Karnes City Community Chamber of Commerce,Karnes City Community Chamber of Commerce
Karnes City Police Department,
Karnes City Police Department,Karnes City Police Department
Karnes City Public Library,
Karnes City Public Library,Karnes City Public Library
Karnes County Clerk,
Karnes County Clerk - Carol Swize,Karnes County Clerk
Karnes County Courthouse,
Karnes County Courthouse,Karnes County Courthouse
Karnes County IDD,Camino Real Community Services - Karnes County Intellectual and Developmental Disabilities
Karnes County Intellectual and Developmental Disabilities,Camino Real Community Services - Karnes County Intellectual and Developmental Disabilities
Karnes County Mental Health Clinic,Camino Real Community Services - Karnes County Mental Health Clinic
Karnes County Sheriff Department,
Karnes County Sheriff Department,Karnes County Sheriff Department
Karnes County Veterans Service Office,
Karnes County Veterans Service Office,Karnes County Veterans Service Office
Karnes Wilson Juvenile Probation Department,
Karnes Wilson Ropes,
Karnes Wilson Ropes,Karnes/Wilson Ropes
Karnes/Wilson Juvenile Probation Department,
Karnes/Wilson Ropes,
Karnes/Wilson Ropes,Karnes/Wilson Ropes
Kars for kids,Paso Del Norte Children's Development Center
Katy Christian Ministries,
Katy Creek Retirement Village,
Katy Creek Retirement Village,Katy Creek Retirement Village
Katy Independent School District,
Kaufman Benevolent Center,
Kaufman Christian Help Center,
Kaufman Community Medical Center,
Kaufman County,
Kaufman County Animal Awareness Project,
Kaufman County Indigent Health Care Program,
Kaufman County Library,Kaufman County
Kaufman County Sheriff Dept,Kaufman County
Kaufman ISD,
Kaufman Senior Citizen Center,
Kava Kids Youth Services,Boys and Girls Club of Northeast Texas
KBFT,Cameron County Juvenile Justice Department
KC,
KC,Kilgore College
KCI Servant's Heart Residential Treatment Center,The Children's Shelter
KCYP 97.7 FM-LP,
KCYP 97.7 FM-LP,McAllen Creative Incubator-Inter-City Christian Youth Program
KDK,
KDK,King David's Kids
Keel Drug Store,Ballinger Memorial Hospital District
Keene Chamber of Commerce,
Keene Fire Department,
Keene Independent School District,
Keene Police Department,
Keep Abilene Beautiful,
Keep America Beautiful,City of Abilene - Public Works
Keep El Paso Beautiful,El Paso Fire Department Headquarters
Keep Five Alive,"Houston Clean City Commission, Inc."
Keep Greenville Beautiful,
"Keep Midland Beautiful, Inc.",
Keep on Dancing Cancer Survivor Conference,Rio Grande Cancer Foundation
Keep Texas Beautiful,City of Abilene - Public Works
Keeping Young Doing Senior Stuff,City of Georgetown
Kell West Hospital,Kell West Regional Hospital
Kell West Regional Hospital,
Keller City Hall,
Keller Fire Department,
Keller Independent School District,
Keller Police Department,
Keller Public Library,
Kelly Memorial -  Food Pantry,El Pasoans Fighting Hunger
"Kelsey Logan Angel Fund, The",
"Kelsey Logan Angel Fund, The","Kelsey Logan Angel Fund, The"
Kelsey Research Foundation,
Kemp ISD,
Kempner Elected Officials,City of Kempner
Kendalia Public Library,
Kendalia Public Library,Kendalia Public Library
Kendall County Clerk,
Kendall County Clerk - Darlene Herrin,Kendall County Clerk
Kendall County Courthouse,
Kendall County Courthouse,Kendall County Courthouse
Kendall County Indigent Health Program,
Kendall County Indigent Health Program,Kendall County Indigent Health Program
Kendall County Mental Health,Hill Country Mental Health and Developmental Disabilities Centers - Kendall County Mental Health Center
Kendall County Mental Health Center,
Kendall County Sheriff Department,
Kendall County Sheriff Department,Kendall County Sheriff Department
Kendall County United Way,United Way of Kendall County
Kendall County Veterans Service Office,
Kendall County Veterans Service Office,Kendall County Veterans Service Office
Kendall County Women's Shelter,
Kendall County Women's Shelter,Kendall County Women's Shelter
Kendrick Lane Baptist Church,
Kendrick Lane Baptist Church Medical Equipment Services,Kendrick Lane Baptist Church
Kenedy County Government,
Kenedy Housing Authority,
Kenedy Housing Authority,Kenedy Housing Authority
Kenedy Police Department,
Kenedy Police Department,Kenedy Police Department
Kenedy Public Library,
Kenedy Public Library,Kenedy Public Library
Kenedy Senior Citizen Center,
Kenedy Senior Citizen Center,Kenedy Senior Citizen Center
Kennard Independent School District,
Kennard Independent School District,Kennard Independent School District
Kennard/Ratcliff Fire Department,Houston County Courthouse
Kennedale City Hall,
Kennedale Fire Department,
Kennedale Independent School District,
Kennedale Police Department,
Kennedy's Center Office on Accessibility,
Kennedy's Center Office on Accessibility,VSA Texas
Kent County,
Kent County Attorney,Kent County
Kent County Auditor,Kent County
Kent County Commissioners Court,Kent County
Kent County District Clerk,Kent County
Kent County Justice of the Peace,Kent County
Kent County Sheriff,Kent County
Kent County Tax Assessor-Collector,Kent County
Kent County Treasurer,Kent County
Kent County Veterans Service Office,
Kent County Veterans Service Office,Kent County Veterans Service Office
Kent County VSO,
Kent County VSO,Kent County Veterans Service Office
Kenwood Clinic,"University Health System, Bexar County, Texas"
Kenwood Preventive Health Clinic,"University Health System, Bexar County, Texas"
KERA/KDTN Educational Resource Center,
Keri's Fairy Godmother Foundation,
Keri's Fairy Godmother Foundation - Austin Fairy Godmother Boutique,Keri's Fairy Godmother Foundation
Keri's Fairy Godmother Foundation - Diva Day Out,Keri's Fairy Godmother Foundation
Kerr CAM,Kerr County Area Christian Assistance Ministry
Kerr County 4-H,Texas A&M AgriLife Extension Service - Kerr County
Kerr County Area Christian Assistance Ministry,
Kerr County Area Christian Assistance Ministry,Kerr County Area Christian Assistance Ministry
Kerr County Clerk,
Kerr County Clerk,Kerr County Clerk
Kerr County Code Red,
Kerr County Code Red,Kerr County Code Red
Kerr County Courthouse,
Kerr County Courthouse,Kerr County Courthouse
Kerr County CRCG,"Community Resource Coordination Group - Bandera, Gillespie, Kendall, Kerr, and Medina Counties"
Kerr County Mental Health,Hill Country Mental Health and Developmental Disabilities Centers - Administrative Office
Kerr County Sheriff Department,
Kerr County Sheriff Department,Kerr County Sheriff Department
Kerr County United Way,
Kerr County United Way,Kerr County United Way
Kerr County Veteran Service Office,Kerr County Veterans Service Office
Kerr County Veterans Service Office,
Kerr County YMCA,
Kerr County YMCA,Kerr County YMCA
Kerrville Cocaine Anonymous,
Kerrville Cocaine Anonymous,South Central Texas Area of Cocaine Anonymous
Kerrville Fire Department,
Kerrville Fire Department,Kerrville Fire Department
Kerrville Independent School District,
Kerrville Independent School District,Kerrville Independent School District
Kerrville ISD,Kerrville Independent School District
Kerrville Police Department,
Kerrville Police Department,Kerrville Police Department
Kerrville VA Hospital,South Texas Veterans Health Care System
Kerrville Veterans Hospital,South Texas Veterans Health Care System
Kerrville WIC,
Kerrville WIC,"Kerrville Women, Infants and Children"
"Kerrville Women, Infants and Children",
"Kerrville Women, Infants and Children","Kerrville Women, Infants and Children"
KEYS High School (Hurst-Euless-Bedford ISD),
KEYS Learning Center,
Keywest Adult Day Care Center,
KFD,
KFD,Kyle Fire Department
Khakis for Kids School Uniform Program,"Family Service Association of San Antonio, Inc."
KHB,
KHC,Texas Department of State Health Services (DSHS)
KHOU-Channel 11,
Kid Camps,Urban Connection - San Antonio
Kid City,
Kid City Summer Camp,"Georgetown Project, The"
Kid Share,"Family Service Association of San Antonio, Inc."
Kid U Summer Camps,University of Houston System
Kid's Cafe,South Texas Food Bank
Kid's Inc Sports,Kids Incorporated
"Kid's Meals, Inc",
Kidney Cars Program,"National Kidney Foundation of Southeast Texas, Inc."
Kidney Center of Jasper,
Kidney Center of Jasper,Kidney Center of Jasper
Kidney Check Program,Coastal Bend Kidney Foundation
Kidney Eduction Classes,Kidney Smart
Kidney Foundation,
Kidney Foundation,Kidney Foundation of Laredo
Kidney Foundation of Laredo,
Kidney Smart,
Kids Advocacy Place,
Kids Advocacy Place,Kids' Advocacy Place
Kids Against Drugs,San Marcos Housing Authority
Kids Against Drugs Program,
Kids Against Drugs Program,San Marcos Housing Authority
Kids Cafe,High Plains Food Bank
Kids Cafe,Urban Connection - San Antonio
Kids Cafe Site - Ana Maria Lozano,City of Laredo - Housing Authority
Kids Cafes,Boys and Girls Clubs of Laredo - Main
Kids Cafes,Boys and Girls Clubs of Zapata County
Kids Club,
Kids Connection Youth Program,Urban Connection - San Antonio
Kids Eat Free,Texas Hunger Initiative - San Angelo Regional Office
Kids Exchange,Connections Individual and Family Services - New Braunfels
Kids First,Centers for Children and Families
Kids First Program,Centers for Children and Families
Kids Free Supper Program,City of Austin - Parks and Recreation Department
Kids Hurt Too,Paris Junior College
Kids in Distress,
Kids in Divorce Situations,Guardian House
Kids Incorporated,
Kids Klub,"Kids Klub, The"
"Kids Klub, The",
Kids on the Block,Assistance League of Houston
Kids Stop,Children's Hospital of San Antonio
Kids Trips,
Kids Trips,Austin Ridge Riders
Kids Vision Fest,Tarrant Literacy Coalition
Kids Write Good,
Kids' Advocacy Place,
Kids' Advocacy Place,Kids' Advocacy Place
Kids' Cafe - Martinez,"Boys & Girls Club of Abilene, Inc."
KidSafe Child Passenger Safety Injury Prevention Program,Baylor Scott and White Hillcrest Medical Center
Kidshare,"Family Service Association of San Antonio, Inc."
KidsSTOP,Children's Hospital of San Antonio
KidsSTOP at COP's,Children's Hospital of San Antonio
Kidz Are Our Future,
Kidz Connection,Victoria Independent School District
Kilgore College,
Kilgore College,Kilgore College
Kilgore College Longview Campus,Kilgore College
Kilgore Habitat for Humanity,Habitat for Humanity of Kilgore
"Kilgore, City of",
Killeen Animal Services,City of Killeen
Killeen Chamber of Commerce,
Killeen City Library System,City of Killeen
Killeen City Library System Copper Mountain Branch,City of Killeen
Killeen Community Center,City of Killeen
Killeen Elected Officials,City of Killeen
Killeen Fire Department,
Killeen Fire Department,Killeen Fire Department
Killeen Heights Vet Center,Central Texas Veterans Health Care System
Killeen Help Center,Bell County Human Services - Killeen Office
Killeen Independent School District,
Killeen Multi Service Senior Center,Hill Country Community Action Association Inc
Killeen Police Department,City of Killeen
Killeen Police Department Youth Program,City of Killeen
Killeen Stone Ranch Apartment Homes,Lankford Interests
Killeen Veranda Housing Corporation,Lankford Interests
Killeen Volunteers Incorporated,City of Killeen
Killeen Workforce Center GED Lab,Workforce Solutions of Central Texas
Kimberly's Closet,No Boundaries International-Amarillo
Kimble County Chamber of Commerce,
Kimble County Chamber of Commerce,Kimble County Chamber of Commerce
Kimble County Fire and Sheriff,
Kimble County Fire and Sheriff,Kimble County Fire and Sheriff
Kimble County Food Bank,
Kimble County Library,
Kimble County Library,Kimble County Library
Kimble County Senior Center,
Kimble County Senior Center & Meals on Wheels,Kimble County Senior Center
Kimble Hospital,
Kimble Hospital,Kimble Hospital
Kimble Hospital District,
Kimble Hospital District,Kimble Hospital
Kimble Hospital Geropsych Program,Kimble Hospital
Kimble Hospital Home Health,Kimble Hospital
Kimble Hospital Rehab,Kimble Hospital
Kimble Hospital Swing Bed Program,Kimble Hospital
Kindness Kottage,
Kindred Hospital,
Kindred Hospital Victoria,Detar Hospital Navarro
Kinetic Kids,
Kinetic Kids,Kinetic Kids
King County,
King County,King County
King County Indigent Health Care,Texas Department of State Health Services (DSHS) - Health Service Region 1
King David's Kids,
King David's Kids,King David's Kids
King Hearing Center,
"King Hearing Center, Lubbock",King Hearing Center
King's Court Apartments,"King's Court Housing Foundation, Inc."
"King's Court Housing Foundation, Inc.",
King's Cupboard Food and Clothing Pantry,Fountain of Living Water
King's Daughters and Sons,
King's Daughters Clinics,Little River Healthcare
King's Storehouse Food Bank,
King/New Beginning Senior Center,
Kingdom of God Christian Center,
Kingdom of God Christian Center - Food Pantry,Kingdom of God Christian Center
Kingdom of God Food Pantry,
Kingdom of God Food Pantry,Kingdom of God Christian Center
Kinglsand Food Pantry,
Kinglsand Food Pantry,Sharing the Harvest
Kings Club,"Mission Waco, Mission World, Inc."
Kings Court Apartments,"King's Court Housing Foundation, Inc."
Kings Court Housing Foundation,
Kings Daughters Clinic,Little River Healthcare
Kings Daughters Clinics,Little River Healthcare
Kings Storehouse,
Kings Storehouse,King's Storehouse Food Bank
Kings Storehouse Food Bank,King's Storehouse Food Bank
Kingsland Branch,Llano County Public Library System
Kingsville & Kleberg County Medical Corp,
Kingsville and Kleberg County Medical Corp,
Kingsville and Kleberg County Medical Corp,Kingsville & Kleberg County Medical Corp
Kingsville Chamber of Commerce,
Kingsville Housing Authority,
Kingsville-Kleberg Health Department,
Kingwood Medical Center,
Kinney County,
Kinney County,Kinney County
Kinney County - Emergency Management Coordinator,Kinney County
Kinney County Aging and Nutrition Center,Kinney County
Kinney County Appraisal Office,Kinney County
Kinney County Fire and Rescue,Kinney County
Kinney County Historical Commission,Kinney County
Kinney County Public Library,Kinney County
Kinney County Sheriff Department,Kinney County
Kinney County Tax Office,Kinney County
Kiosco Center - Cary Middle School,Parkland Health and Hospital System
Kirby Fire Department,
Kirby Fire Department,Kirby Fire Department
Kirby Fire Station,Kirby Fire Department
Kirby Police Department,
Kirby Police Department,Kirby Police Department
Kirby Senior Center Corporation,
Kirbyville Chamber of Commerce,
Kirbyville Chamber of Commerce,Kirbyville Chamber of Commerce
Kirbyville Fire Department,
Kirbyville Fire Department,Kirbyville Fire Department
Kirbyville Housing Authority,
Kirbyville Housing Authority,Kirbyville Housing Authority
Kitchen Table,"Kitchen Table, The"
"Kitchen Table, The",
Kits 4 Kids,Interfaith of the Woodlands
Kiwanis Club of Rockwall County,
"Kkarma, Inc.",
"Kkarma, Inc.","Kkarma, Inc."
Klaras Center for Families Services,Heart of Texas Region Mental Health Mental Retardation Center
Klaras Children's Center Early Childhood Intervention,
Klaras Children's Center Early Childhood Intervention Services,Heart of Texas Region Mental Health Mental Retardation Center
Klaras Children's Center Services,Klaras Children's Center Early Childhood Intervention
Kleberg County Government,
Kleberg County Human Services,
Kleberg County Literacy Council,Robert J Kleberg Public Library
Klein Independent School District,
Klein Volunteer Fire Department,
KLRU - TV,
KLRU - TV,KLRU - TV
KLRU - TV Ready to Learn,KLRU - TV
Knapp Medical Center,
"Knollwood, City of",
"Knollwood, City of","Knollwood, City of"
Know Your Rights,Girls Incorporated of Greater Houston
Knox County,
Knox County Commissioners Court,Knox County
Knox County Hospital,Knox County Hospital District
Knox County Hospital District,
Knox County Hosptial,
Knox County Hosptial,Knox County Hospital District
Knox County Veterans Service Office,
Knox County Veterans Service Office,Knox County Veterans Service Office
Knox County VSO,
Knox County VSO,Knox County Veterans Service Office
Knox Hospital,
Knox Hospital,Knox County Hospital District
Kodosky Service Center,
Kodosky Service Center,Girl Scouts of Central Texas
Komen,
Komen,Susan G. Komen For the Cure - Tyler Affiliate
Kommunitykeys Adult Education,MasterKey Ministries of Grayson County
Kool Smiles,
Kool Smiles - Eagle Pass,
Kool Smiles - Eagle Pass,Kool Smiles - Eagle Pass
Kool Smiles - Killeen,
Kool Smiles - Killeen,Kool Smiles - Killeen
Kool Smiles - Sherman,
Kool Smiles - Sherman,Kool Smiles - Sherman
Kool Smiles Caprock,Kool Smiles
Kool Smiles of Midland,
Kool Smiles of Midland,Kool Smiles of Midland
Kool Smiles of Odessa,
Kool Smiles of Odessa,Kool Smiles of Odessa
KOP (Knights of Pythias) Kares,
Kosse Fire Department,"Kosse, City of"
"Kosse, City of",
Kountze Chamber of Commerce,
Kountze PD,
Kountze PD,Kountze Police Department
Kountze Police Department,
"Kountze Police Department, Municipal Police",Kountze Police Department
Kountze Public Library,
Kountze Volunteer Fire Department,
"Kountze Volunteer Fire Department, Fire Extinguishment",Kountze Volunteer Fire Department
"Kountze, City of",
KPD,
KPD,Kountze Police Department
KPRC-Channel 2,
KPRS Presidio Municipal Airport,City of Presidio
Krist Samaritan Center for Counseling and Education,
KStar,
KStar,K'star Youth and Family Services
KSTAR Emergency Youth Shelter,K'STAR Inc.
KSTAR Youth and Family Services,
KTRK-Channel 13,
KVFD,
KVFD,Kountze Volunteer Fire Department
KYDSS,City of Georgetown
Kyle City Council,
Kyle City Hall,
Kyle Community Library,
Kyle Community Library,Kyle Public Library
Kyle Fire Department,
Kyle Fire Department - Emergency Services,Kyle Fire Department
Kyle First Baptist Clothing Closet,
Kyle First Baptist Clothing Closet,First Baptist Church of Kyle
Kyle First Baptist Food Pantry,
Kyle First Baptist Food Pantry,First Baptist Church of Kyle
Kyle First Baptist Lending Closet,
Kyle First Baptist Lending Closet,First Baptist Church of Kyle
Kyle Housing Authority,
Kyle Housing Authority - Housing Services,Kyle Housing Authority
Kyle Library,Kyle Public Library
Kyle Parks and Rec,City of Kyle
Kyle PD,
Kyle PD,Kyle Police Department
Kyle Police Department,
Kyle Public Library,
Kyle Public Library,Kyle Public Library
Kyle Public Library - Library Services,Kyle Public Library
Kyle PW,City of Kyle
Kyle Street Department,City of Kyle
Kyle Wastewater Department,City of Kyle
Kyle Water Department,City of Kyle
Kyle WIC Clinic - Nutrition Services,City of San Marcos - WIC Program
Kyle WIC Office,City of San Marcos - WIC Program
Kyle's Court,City of Kyle
Kyokushinkai Karate - Redbud Facility,Young Mens Christian Association of Abilene (YMCA)
L and C,
L and C,Love and Care Ministries
L O Bud Irby Lake Worth Senior Center,
"L-H Transitional Center, Inc.",
L.A.M.B.,
"L.E.C.D.,  9-1-1  Administration",Lubbock Emergency Communication District
L.O. Bud Irby Lake Worth Senior Center,
L.P. Waters Early Childhood Learning Center,
La Casita Learning Center at Visitation House,Visitation House Ministries
La Clinica,
La Clinica,Gateway Community Health Center - Main Clinic
La Clinica de Monjitas,
La Esperanza Clinic,La Esperanza Health & Dental Centers
La Esperanza Health  and  Dental Centers,
La Esperanza Health & Dental Centers,
La Esperanza Health and Dental Centers,
